drug_name,occurrences_in_pairs,distinct_ddinter_ids,ddinter_ids
Peginterferon alfa-2b,204,1,DDInter1408
Physostigmine,203,1,DDInter1462
Binimetinib,203,1,DDInter210
Pantoprazole,202,1,DDInter1388
Bendroflumethiazide,202,1,DDInter179
Acebutolol,202,1,DDInter12
Bepridil,202,1,DDInter192
Hydroxyzine,202,1,DDInter895
Desirudin,202,1,DDInter505
Fluorouracil,202,1,DDInter757
Furosemide,201,1,DDInter790
Indomethacin,201,1,DDInter921
Butalbital,201,1,DDInter257
Diatrizoate,201,1,DDInter533
Benzthiazide,200,1,DDInter188
Ritodrine,200,1,DDInter1606
Mefenamic acid,200,1,DDInter1139
Modafinil,200,1,DDInter1236
Phentolamine,200,1,DDInter1448
Bendamustine,200,1,DDInter178
Amphotericin B (cholesteryl sulfate),199,1,DDInter86
Octreotide,199,1,DDInter1323
Betaxolol,199,1,DDInter197
Delafloxacin,198,1,DDInter495
Tipranavir,198,1,DDInter1817
Amphotericin B (liposomal),198,1,DDInter88
Atenolol,198,1,DDInter130
Bisoprolol,198,1,DDInter216
Vitamin E,198,1,DDInter1943
Diethylpropion,197,1,DDInter547
Droperidol,197,1,DDInter603
Foscarnet,197,1,DDInter779
Tizanidine,197,1,DDInter1821
Interferon alfacon-1,197,1,DDInter946
Lanreotide,196,1,DDInter1021
Azelastine (nasal),196,1,DDInter154
Capecitabine,196,1,DDInter285
Sarilumab,196,1,DDInter1643
Trichlormethiazide,195,1,DDInter1861
Fondaparinux,195,1,DDInter775
Nintedanib,195,1,DDInter1296
Nitrous acid,195,1,DDInter1306
Donepezil,194,1,DDInter583
Armodafinil,194,1,DDInter119
Quinapril,194,1,DDInter1554
Iothalamic acid,194,1,DDInter965
Terbinafine,194,1,DDInter1768
Tinzaparin,194,1,DDInter1812
Enoxacin,193,1,DDInter644
Piroxicam,193,1,DDInter1478
Nevirapine,193,1,DDInter1285
Meloxicam,193,1,DDInter1143
Naldemedine,192,1,DDInter1258
Rabeprazole,192,1,DDInter1559
Diflunisal,192,1,DDInter551
Ipilimumab,192,1,DDInter969
Lumateperone,191,1,DDInter1102
Remdesivir,191,1,DDInter1578
Lurasidone,190,1,DDInter1104
Megestrol acetate,190,1,DDInter1141
Ketoprofen,190,1,DDInter1009
Nalidixic acid,189,1,DDInter1259
Sonidegib,189,1,DDInter1701
Rifabutin,189,1,DDInter1589
Paroxetine,189,1,DDInter1397
Bumetanide,188,1,DDInter248
Etacrynic acid,188,1,DDInter686
Fosaprepitant,188,1,DDInter778
Rufinamide,188,1,DDInter1627
Fluticasone,188,1,DDInter766
Ramucirumab,187,1,DDInter1566
Gemcitabine,187,1,DDInter811
Dofetilide,186,1,DDInter580
Fenoprofen,186,1,DDInter721
Felodipine,186,1,DDInter716
Lusutrombopag,186,1,DDInter1106
Diclofenac (topical),186,1,DDInter539
Sulindac,185,1,DDInter1729
Valbenazine,185,1,DDInter1909
Desvenlafaxine,185,1,DDInter511
Interferon alfa-n1,185,1,DDInter944
Lenalidomide,185,1,DDInter1035
Mazindol,184,1,DDInter1126
Meclofenamic acid,184,1,DDInter1135
Procainamide,184,1,DDInter1524
Levamlodipine,184,1,DDInter1045
Zinc gluconate,183,1,DDInter1965
Zinc sulfate,183,1,DDInter1966
Etodolac,183,1,DDInter699
Ketorolac,183,1,DDInter1010
Oxaprozin,183,1,DDInter1358
Nabumetone,183,1,DDInter1254
Prednisolone (ophthalmic),183,1,DDInter1514
Revefenacin,183,1,DDInter1586
Dipyridamole,183,1,DDInter573
Argatroban,183,1,DDInter117
Lepirudin,183,1,DDInter1037
Lomustine,183,1,DDInter1086
Arformoterol,182,1,DDInter116
Levosalbutamol,182,1,DDInter1063
Propafenone,182,1,DDInter1534
Rilpivirine,182,1,DDInter1595
Tolmetin,182,1,DDInter1831
Acrivastine,182,1,DDInter23
Cocaine (nasal),182,1,DDInter426
Letermovir,182,1,DDInter1039
Iopromide,182,1,DDInter964
Ioversol,182,1,DDInter966
Ioxilan,182,1,DDInter967
Oxycodone,182,1,DDInter1366
Elotuzumab,182,1,DDInter630
Fentanyl,181,1,DDInter722
Melphalan,181,1,DDInter1144
Thiotepa,181,1,DDInter1797
Cytarabine,181,1,DDInter460
Cinoxacin,180,1,DDInter383
Lofexidine,180,1,DDInter1083
Epinephrine (topical),180,1,DDInter654
Penbutolol,180,1,DDInter1417
Dacarbazine,180,1,DDInter463
Streptozocin,180,1,DDInter1714
Zinc acetate,179,1,DDInter1963
Amlodipine,179,1,DDInter79
Captopril,179,1,DDInter292
Ivermectin,179,1,DDInter998
Iodipamide,178,1,DDInter957
Vilazodone,178,1,DDInter1935
Bivalirudin,178,1,DDInter217
Betamethasone (topical),177,1,DDInter196
Hydrocortisone (topical),177,1,DDInter887
Triamcinolone (topical),177,1,DDInter1858
Tetrabenazine,177,1,DDInter1778
Flibanserin,177,1,DDInter741
Desmopressin,177,1,DDInter507
Danaparoid,177,1,DDInter471
Cariprazine,176,1,DDInter300
Methoxsalen,176,1,DDInter1177
Trimetrexate,176,1,DDInter1875
Calcium acetate,175,1,DDInter270
Sucralfate,175,1,DDInter1717
Felbamate,175,1,DDInter715
Carmustine,175,1,DDInter302
Cocaine (topical),174,1,DDInter427
Enalapril,174,1,DDInter638
Avapritinib,174,1,DDInter142
Calcium gluconate,173,1,DDInter276
Carteolol,173,1,DDInter303
Lisinopril,173,1,DDInter1079
Perindopril,173,1,DDInter1431
Ramipril,173,1,DDInter1565
Caplacizumab,173,1,DDInter286
Estradiol,172,1,DDInter679
Ezogabine,172,1,DDInter708
Fosinopril,172,1,DDInter781
Trandolapril,172,1,DDInter1843
Voxelotor,172,1,DDInter1949
Bleomycin,172,1,DDInter219
Iron,171,1,DDInter975
Apomorphine,171,1,DDInter109
Lemborexant,171,1,DDInter1034
Moexipril,171,1,DDInter1237
Tazemetostat,171,1,DDInter1750
Alteplase,170,1,DDInter56
Ranitidine,169,1,DDInter1568
Alfuzosin,169,1,DDInter44
Vardenafil,169,1,DDInter1918
Valdecoxib,169,1,DDInter1910
Chlorambucil,169,1,DDInter350
Temozolomide,169,1,DDInter1762
Dexlansoprazole,168,1,DDInter519
Brexpiprazole,168,1,DDInter231
Fostemsavir,168,1,DDInter786
Atorvastatin,168,1,DDInter133
Drotrecogin alfa,168,1,DDInter605
Isotretinoin,167,1,DDInter991
Deutetrabenazine,167,1,DDInter512
Iodixanol,167,1,DDInter958
Reteplase,167,1,DDInter1585
Tenecteplase,167,1,DDInter1764
Plicamycin,167,1,DDInter1484
Isoetharine,166,1,DDInter982
Benazepril,166,1,DDInter177
Bacitracin,166,1,DDInter161
Mitomycin,165,1,DDInter1232
Abciximab,164,1,DDInter6
Midazolam,164,1,DDInter1212
Nisoldipine,164,1,DDInter1298
Lurbinectedin,164,1,DDInter1105
Zanubrutinib,164,1,DDInter1959
Isradipine,163,1,DDInter993
Nicardipine,163,1,DDInter1287
Alfentanil,163,1,DDInter43
Eptifibatide,163,1,DDInter659
Hydroxyurea,163,1,DDInter894
Atomoxetine,162,1,DDInter132
Lisdexamfetamine,162,1,DDInter1078
Flecainide,162,1,DDInter740
Galantamine,162,1,DDInter802
Methyl aminolevulinate (topical),162,1,DDInter1182
Spironolactone,162,1,DDInter1707
Ganciclovir,162,1,DDInter806
Tirofiban,162,1,DDInter1818
Cangrelor,162,1,DDInter283
Aminolevulinic acid (topical),161,1,DDInter73
Mephenytoin,161,1,DDInter1152
Valganciclovir,161,1,DDInter1912
Cinacalcet,161,1,DDInter381
Phenelzine,160,1,DDInter1440
Zinc chloride,160,1,DDInter1964
Blinatumomab,160,1,DDInter220
Defibrotide,160,1,DDInter491
Floxuridine,160,1,DDInter742
Chloramphenicol (ophthalmic),160,1,DDInter352
Isocarboxazid,159,1,DDInter981
Tranylcypromine,159,1,DDInter1845
Triazolam,159,1,DDInter1860
Bromfenac,159,1,DDInter241
Azithromycin,158,1,DDInter157
Sulfamethoxazole,158,1,DDInter1724
Dexamethasone (topical),157,1,DDInter516
Sodium citrate,157,1,DDInter1686
Telotristat ethyl,157,1,DDInter1760
Alprazolam,157,1,DDInter54
Diazepam,157,1,DDInter534
Benzhydrocodone,157,1,DDInter182
Siltuximab,157,1,DDInter1668
Milnacipran,156,1,DDInter1220
Salsalate,156,1,DDInter1637
Pimavanserin,155,1,DDInter1467
Tolevamer,155,1,DDInter1830
Berotralstat,155,1,DDInter193
Secukinumab,155,1,DDInter1652
Pegfilgrastim,155,1,DDInter1405
Rasagiline,154,1,DDInter1572
Lovastatin,154,1,DDInter1098
Vortioxetine,153,1,DDInter1948
Pralatrexate,153,1,DDInter1502
Guselkumab,153,1,DDInter849
Ixekizumab,153,1,DDInter1003
Filgrastim,153,1,DDInter735
Sargramostim,153,1,DDInter1642
Afatinib,151,1,DDInter32
Benznidazole,151,1,DDInter183
Dalfopristin,151,1,DDInter469
Enfortumab vedotin,150,1,DDInter642
Beclomethasone dipropionate,150,1,DDInter168
Vancomycin,150,1,DDInter1916
Streptokinase,149,1,DDInter1712
Urokinase,149,1,DDInter1905
Propiomazine,148,1,DDInter1537
Lasmiditan,148,1,DDInter1027
Mesalazine,148,1,DDInter1158
Olsalazine,148,1,DDInter1334
Anistreplase,148,1,DDInter99
Hydrocortisone (ophthalmic),148,1,DDInter886
Secnidazole,148,1,DDInter1649
Paricalcitol,147,1,DDInter1394
Mechlorethamine,147,1,DDInter1133
Levomilnacipran,146,1,DDInter1059
Nimodipine,146,1,DDInter1295
Dactinomycin,146,1,DDInter466
Pentostatin,146,1,DDInter1425
Suvorexant,145,1,DDInter1733
Sufentanil,144,1,DDInter1718
Sulfinpyrazone,144,1,DDInter1726
Orlistat,143,1,DDInter1348
Acetazolamide,143,1,DDInter15
Antithrombin III human,143,1,DDInter105
Ranitidine (bismuth citrate),142,1,DDInter1569
Mipomersen,142,1,DDInter1228
Ivabradine,142,1,DDInter996
Tacrine,142,1,DDInter1734
Radium Ra 223 dichloride,142,1,DDInter1561
Flurbiprofen (ophthalmic),141,1,DDInter764
Darifenacin,140,1,DDInter480
Diclofenac (ophthalmic),140,1,DDInter538
Propofol,139,1,DDInter1538
Albendazole,139,1,DDInter35
Urea,139,1,DDInter1903
Ethotoin,138,1,DDInter696
Butorphanol,138,1,DDInter258
Inotersen,138,1,DDInter926
Physostigmine (ophthalmic),138,1,DDInter1463
Estradiol (topical),137,1,DDInter680
Estrone sulfate,137,1,DDInter683
Rivastigmine,137,1,DDInter1610
Telavancin,137,1,DDInter1756
Capmatinib,137,1,DDInter287
Hydralazine,137,1,DDInter882
Pirfenidone,137,1,DDInter1477
Eslicarbazepine,137,1,DDInter674
Conjugated estrogens,136,1,DDInter439
Drospirenone,136,1,DDInter604
Amisulpride,136,1,DDInter77
Tapentadol,136,1,DDInter1746
Rofecoxib,136,1,DDInter1613
Fluticasone (topical),135,1,DDInter768
Guanfacine,135,1,DDInter847
Oxandrolone,135,1,DDInter1357
Polatuzumab vedotin,135,1,DDInter1485
Diclofenamide,134,1,DDInter540
Methazolamide,134,1,DDInter1167
Halothane,134,1,DDInter854
Esmolol,134,1,DDInter675
Tolterodine,134,1,DDInter1832
Tolvaptan,134,1,DDInter1833
Netupitant,134,1,DDInter1284
Esterified estrogens,133,1,DDInter678
Methylprednisolone (topical),133,1,DDInter1192
Dihydrocodeine,133,1,DDInter556
Triamterene,133,1,DDInter1859
Naxitamab,133,1,DDInter1270
Belinostat,133,1,DDInter174
Ibutilide,132,1,DDInter901
Choline salicylate,132,1,DDInter370
Reserpine,132,1,DDInter1582
Altretamine,132,1,DDInter57
"Sodium phosphate, monobasic (p32)",132,1,DDInter1692
Estrone,131,1,DDInter682
Ephedrine (nasal),131,1,DDInter651
Hyaluronidase,131,1,DDInter881
Losartan,131,1,DDInter1095
Prucalopride,130,1,DDInter1544
Clobazam,130,1,DDInter401
Clonazepam,130,1,DDInter411
Quinestrol,129,1,DDInter1555
Artemether,129,1,DDInter121
Danazol,128,1,DDInter472
Norethisterone,128,1,DDInter1312
Clonidine,128,1,DDInter412
Tiotropium,128,1,DDInter1815
Decitabine,128,1,DDInter487
Magnesium chloride,127,1,DDInter1114
Levonorgestrel,127,1,DDInter1061
Aminolevulinic acid,127,1,DDInter72
Sarecycline,127,1,DDInter1641
Gemtuzumab ozogamicin,127,1,DDInter814
Metamfetamine,126,1,DDInter1161
Aclidinium,126,1,DDInter22
Irbesartan,126,1,DDInter972
Ipratropium,126,1,DDInter970
Umeclidinium,126,1,DDInter1899
Sevoflurane,125,1,DDInter1664
Vasopressin,125,1,DDInter1921
Amiloride,125,1,DDInter68
Timolol (ophthalmic),125,1,DDInter1810
Valproic acid,125,1,DDInter1913
Colchicine,125,1,DDInter431
Montelukast,125,1,DDInter1242
Fosnetupitant,125,1,DDInter782
Pegvisomant,124,1,DDInter1412
Caffeine,124,1,DDInter263
Telbivudine,124,1,DDInter1757
Triamcinolone (nasal),124,1,DDInter1856
Epinephrine (ophthalmic),123,1,DDInter653
Zonisamide,123,1,DDInter1971
Flucytosine,123,1,DDInter744
Fesoterodine,123,1,DDInter731
Dapsone (topical),123,1,DDInter476
Estrone sulfate (topical),122,1,DDInter684
Benzphetamine,121,1,DDInter187
Etonogestrel,121,1,DDInter701
Norgestrel,121,1,DDInter1315
Olmesartan,121,1,DDInter1330
Erdafitinib,121,1,DDInter661
Cerivastatin,121,1,DDInter341
Deoxycholic acid,121,1,DDInter501
Oxymetholone,120,1,DDInter1371
Valsartan,120,1,DDInter1915
Rifaximin,120,1,DDInter1593
Amifostine,120,1,DDInter65
Relugolix,120,1,DDInter1577
Sermorelin,119,1,DDInter1661
Safinamide,119,1,DDInter1631
Stanozolol,119,1,DDInter1709
Verteporfin,118,1,DDInter1929
Aliskiren,118,1,DDInter46
Telmisartan,118,1,DDInter1759
Calcitriol,118,1,DDInter268
Perflutren,118,1,DDInter1429
Digitoxin,117,1,DDInter553
Dacomitinib,117,1,DDInter465
Levodopa,117,1,DDInter1054
Nizatidine,116,1,DDInter1309
Selegiline,116,1,DDInter1653
Clofazimine,116,1,DDInter406
Ferrous fumarate,116,1,DDInter725
Ferrous gluconate,116,1,DDInter726
Nafcillin,116,1,DDInter1256
Frangula purshiana bark,116,1,DDInter787
Eplerenone,116,1,DDInter656
Artesunate,116,1,DDInter122
Mestranol,116,1,DDInter1160
Levamisole,116,1,DDInter1044
Conjugated estrogens (topical),115,1,DDInter440
Dihydroergotamine,115,1,DDInter557
Durvalumab,115,1,DDInter610
Praziquantel,115,1,DDInter1510
Fexofenadine,115,1,DDInter732
Phenyl salicylate,115,1,DDInter1449
Azilsartan medoxomil,114,1,DDInter156
Cyclobenzaprine,114,1,DDInter454
Tagraxofusp,113,1,DDInter1741
Ergotamine,113,1,DDInter665
Ramelteon,113,1,DDInter1564
Testosterone,113,1,DDInter1775
Loratadine,113,1,DDInter1091
Buspirone,113,1,DDInter254
Probucol,112,1,DDInter1523
Clorazepic acid,112,1,DDInter414
Fluvastatin,112,1,DDInter769
Dexamethasone (nasal),112,1,DDInter514
Guanethidine,111,1,DDInter846
Fidaxomicin,111,1,DDInter734
Edrophonium,111,1,DDInter622
Eprosartan,111,1,DDInter658
Meperidine,111,1,DDInter1150
Cevimeline,110,1,DDInter346
Tasimelteon,110,1,DDInter1747
Dienestrol (topical),109,1,DDInter545
Methyldopa,109,1,DDInter1185
Calcitriol (topical),108,1,DDInter269
"Thyroid, porcine",108,1,DDInter1799
Guanadrel,108,1,DDInter845
Deserpidine,107,1,DDInter502
Silodosin,107,1,DDInter1667
Fluticasone (nasal),107,1,DDInter767
Nitrofurantoin,106,1,DDInter1303
Histamine,106,1,DDInter863
Methylergometrine,105,1,DDInter1187
Atezolizumab,105,1,DDInter131
Pentazocine,105,1,DDInter1421
Zolpidem,105,1,DDInter1970
Activated charcoal,104,1,DDInter24
Ipratropium (nasal),104,1,DDInter971
Flurazepam,104,1,DDInter762
Ioflupane I-123,103,1,DDInter959
Maraviroc,103,1,DDInter1125
Pimecrolimus (topical),103,1,DDInter1469
Ketamine,103,1,DDInter1007
Methysergide,102,1,DDInter1194
Trastuzumab,102,1,DDInter1846
Mycophenolate mofetil,101,1,DDInter1251
Doxercalciferol,101,1,DDInter595
Thiabendazole,101,1,DDInter1792
Hydromorphone,101,1,DDInter890
Nalbuphine,101,1,DDInter1257
Phenylephrine (ophthalmic),101,1,DDInter1455
Ethosuximide,101,1,DDInter695
Vorinostat,100,1,DDInter1947
Iron sucrose,100,1,DDInter978
Thiothixene,100,1,DDInter1798
Eszopiclone,100,1,DDInter685
Rituximab,100,1,DDInter1608
Kaolin,99,1,DDInter1005
Polymyxin B,99,1,DDInter1489
Iobenguane (I-123),99,1,DDInter951
Adenosine,99,1,DDInter31
Loxapine,99,1,DDInter1099
Uracil mustard,99,1,DDInter1902
Phendimetrazine,98,1,DDInter1439
Didanosine,98,1,DDInter544
Molindone,98,1,DDInter1239
Testosterone (topical),98,1,DDInter1776
Alectinib,98,1,DDInter39
Estazolam,98,1,DDInter677
Bictegravir,98,1,DDInter205
Progesterone,97,1,DDInter1529
Lanthanum carbonate,97,1,DDInter1023
Givosiran,97,1,DDInter821
Oxymorphone,97,1,DDInter1372
Etidronic acid,97,1,DDInter698
Ethionamide,97,1,DDInter694
Calcium citrate,96,1,DDInter273
Calcium Phosphate,96,1,DDInter279
Liotrix,96,1,DDInter1075
Vigabatrin,96,1,DDInter1933
Ripretinib,96,1,DDInter1601
Remifentanil,96,1,DDInter1579
Letrozole,96,1,DDInter1040
Levorphanol,95,1,DDInter1062
Ibandronate,95,1,DDInter897
Chlordiazepoxide,95,1,DDInter355
Calcium glubionate anhydrous,94,1,DDInter274
Calcium lactate,94,1,DDInter278
Daclatasvir,94,1,DDInter464
Ginkgo biloba,94,1,DDInter819
Isatuximab,94,1,DDInter979
Ergometrine,93,1,DDInter664
Collagenase clostridium histolyticum,93,1,DDInter435
Clevidipine,93,1,DDInter396
Pravastatin,93,1,DDInter1509
Azacitidine,93,1,DDInter148
Acitretin,92,1,DDInter21
Sildenafil,92,1,DDInter1666
Denileukin diftitox,92,1,DDInter499
Mogamulizumab,92,1,DDInter1238
Tesamorelin,91,1,DDInter1773
Hemin,91,1,DDInter855
Potassium Iodide,91,1,DDInter1500
Thyrotropin alfa,90,1,DDInter1800
Amifampridine,90,1,DDInter64
Lidocaine (topical),90,1,DDInter1068
Oxybutynin,90,1,DDInter1365
Esketamine,90,1,DDInter673
Quazepam,90,1,DDInter1552
Benzocaine (topical),90,1,DDInter184
Alclometasone (topical),89,1,DDInter37
Amcinonide,89,1,DDInter63
Clobetasol (topical),89,1,DDInter403
Clocortolone (topical),89,1,DDInter404
Desonide (topical),89,1,DDInter509
Desoximetasone (topical),89,1,DDInter510
Diflorasone (topical),89,1,DDInter550
Fluocinonide (topical),89,1,DDInter753
Flurandrenolide (topical),89,1,DDInter761
Halcinonide (topical),89,1,DDInter851
Ulobetasol (topical),89,1,DDInter1898
Prednicarbate (topical),89,1,DDInter1512
Metipranolol (ophthalmic),89,1,DDInter1196
Retapamulin (topical),89,1,DDInter1584
Pitavastatin,89,1,DDInter1479
Carteolol (ophthalmic),88,1,DDInter304
Levobunolol (ophthalmic),88,1,DDInter1050
Orphenadrine,88,1,DDInter1349
Selumetinib,88,1,DDInter1659
Enasidenib,88,1,DDInter639
Pancuronium,87,1,DDInter1385
Clindamycin,87,1,DDInter398
Exemestane,87,1,DDInter705
Dyphylline,87,1,DDInter613
Emapalumab,87,1,DDInter634
Trifluridine,87,1,DDInter1868
Mivacurium,86,1,DDInter1235
Plazomicin,86,1,DDInter1482
Fluoxymesterone,86,1,DDInter759
Methyltestosterone,86,1,DDInter1193
Benzatropine,86,1,DDInter181
Flavoxate,86,1,DDInter738
Dupilumab,86,1,DDInter609
Daratumumab,86,1,DDInter478
Obinutuzumab,86,1,DDInter1320
Selinexor,86,1,DDInter1657
Dopamine,85,1,DDInter584
Ginseng,85,1,DDInter820
Rocuronium,85,1,DDInter1612
Vecuronium,85,1,DDInter1922
Betaxolol (ophthalmic),85,1,DDInter198
Cholestyramine,85,1,DDInter368
Nitroprusside,85,1,DDInter1305
Apremilast,85,1,DDInter111
Ofatumumab,85,1,DDInter1324
Alosetron,84,1,DDInter52
Amphetamine,84,1,DDInter84
Racepinephrine,84,1,DDInter1560
Phenyltoloxamine,84,1,DDInter1459
Trihexyphenidyl,84,1,DDInter1870
Risankizumab,84,1,DDInter1602
Tildrakizumab,84,1,DDInter1806
Aflibercept,84,1,DDInter33
Capreomycin,83,1,DDInter288
Zalcitabine,83,1,DDInter1956
Lidocaine (ophthalmic),83,1,DDInter1067
Turmeric,82,1,DDInter1892
Riociguat,82,1,DDInter1600
Biperiden,82,1,DDInter211
Procyclidine,82,1,DDInter1528
Doxazosin,81,1,DDInter592
Dezocine,81,1,DDInter531
Muromonab,81,1,DDInter1250
Temazepam,81,1,DDInter1761
Ubrogepant,81,1,DDInter1896
Isometheptene,80,1,DDInter985
Vismodegib,80,1,DDInter1940
Indium In-111 oxyquinoline,80,1,DDInter918
Fenoldopam,80,1,DDInter720
Neomycin (topical),80,1,DDInter1278
Tamsulosin,80,1,DDInter1745
Satralizumab,80,1,DDInter1644
Nicotinamide,79,1,DDInter1289
Bromocriptine,79,1,DDInter243
Prazosin,79,1,DDInter1511
Dimenhydrinate,79,1,DDInter562
Lorazepam,79,1,DDInter1092
Oxazepam,79,1,DDInter1359
Progesterone (topical),78,1,DDInter1530
Methimazole,78,1,DDInter1170
Brexucabtagene autoleucel,78,1,DDInter232
Garlic,77,1,DDInter808
Patiromer,77,1,DDInter1399
Tobramycin,77,1,DDInter1822
Calcipotriol (topical),77,1,DDInter267
Istradefylline,77,1,DDInter994
Ardeparin,77,1,DDInter115
Dolutegravir,76,1,DDInter582
Abatacept,76,1,DDInter5
Acyclovir,76,1,DDInter25
Topiramate,76,1,DDInter1834
Brivaracetam,76,1,DDInter239
Ropinirole,76,1,DDInter1619
Belatacept,76,1,DDInter172
Stavudine,76,1,DDInter1710
Terazosin,75,1,DDInter1767
Antilymphocyte immunoglobulin (horse),75,1,DDInter103
Antithymocyte immunoglobulin (rabbit),75,1,DDInter106
Zaleplon,75,1,DDInter1957
Mirabegron,75,1,DDInter1229
Tadalafil,75,1,DDInter1736
Suprofen (ophthalmic),75,1,DDInter1732
Attapulgite,74,1,DDInter138
Vitamin A,74,1,DDInter1941
Dobutamine,74,1,DDInter577
Calcium chloride,74,1,DDInter272
Tolcapone,74,1,DDInter1829
Neostigmine,74,1,DDInter1279
Belladonna,74,1,DDInter175
Nitroglycerin,74,1,DDInter1304
Lutetium Lu 177 dotatate,74,1,DDInter1108
Belimumab,74,1,DDInter173
Netilmicin,73,1,DDInter1283
Ulipristal,73,1,DDInter1897
Basiliximab,73,1,DDInter166
Diphenoxylate,73,1,DDInter571
Vedolizumab,73,1,DDInter1923
Propylthiouracil,73,1,DDInter1541
Ketorolac (ophthalmic),72,1,DDInter1011
Levobupivacaine,72,1,DDInter1051
Tiagabine,72,1,DDInter1801
Bromfenac (ophthalmic),72,1,DDInter242
Nepafenac (ophthalmic),72,1,DDInter1280
Ethambutol,72,1,DDInter689
Brodalumab,72,1,DDInter240
Norepinephrine,71,1,DDInter1311
Doxapram,71,1,DDInter591
Midodrine,71,1,DDInter1213
Chenodeoxycholic acid,71,1,DDInter348
Calcifediol,71,1,DDInter265
Avatrombopag,71,1,DDInter143
Folic acid,71,1,DDInter771
Naloxone,70,1,DDInter1262
Colesevelam,70,1,DDInter432
Fenofibrate,70,1,DDInter718
Halazepam,70,1,DDInter850
Auranofin,70,1,DDInter139
Fludeoxyglucose (18F),70,1,DDInter746
Sodium aurothiomalate,70,1,DDInter1682
Niacin,69,1,DDInter1286
Cholecalciferol,69,1,DDInter367
Ergocalciferol,69,1,DDInter662
Obeticholic acid,68,1,DDInter1319
